Protein,NET_FC_Phi,NET_FC_Pi,,,
AT2G43650.1,3.715648651,2.436254025,,,
AT5G04290.2,0,2.435064316,,,
AT5G47210.1,1.912774086,2.428501129,,,
AT5G46640.1,0,2.428038597,,,
AT4G12780.6,0,2.42767477,,,
AT3G62270.1,0,2.425391674,,,
AT4G27180.2,0,2.425383568,,,
AT5G06150.2,0,2.42261982,,,
AT4G28230.1,-2.336965561,2.411622047,,,
AT2G44830.3,0,2.405972481,,,
AT1G43690.1,-1.957080841,2.395305634,,,
AT2G34970.1,2.446900368,2.368145466,,,
AT1G09770.1,0,2.366260529,,,
AT5G47950.1,0.797859192,2.349918842,,,
AT4G03620.2,2.587631226,2.349419594,,,
AT5G61960.9,0,2.349340916,,,
AT5G62190.1,2.12603569,2.347413063,,,
AT5G48800.1,0,2.344805717,,,
AT3G09070.1,0,2.33878231,,,
AT5G18610.3,2.79061079,2.338347435,,,
AT3G19910.2,0,2.330695629,,,
AT1G18670.2,3.543391705,2.316198349,,,
AT3G05200.1,0,2.304436207,,,
AT3G09000.1,0,2.303731918,,,
AT5G60460.2,0,2.297031879,,,
AT4G31160.1,0,2.289673805,,,
AT4G37090.2,2.909127235,2.284724236,,,
AT4G09250.1,2.117253304,2.283122063,,,
AT1G44910.2,0,2.255598068,,,
AT5G48160.2,0,2.254400253,,,
AT5G64090.1,1.61503315,2.248110771,,,
AT1G72410.2,0,2.239108086,,,
AT3G22190.4,0,2.217297554,,,
AT1G70290.2,0,2.207047462,,,
AT1G45688.2,-2.824753761,2.205519676,,,
AT1G04730.1,0,2.202624321,,,
AT2G33620.4,0,2.195785522,,,
AT1G60890.1,0,2.194197178,,,
AT1G25260.1,0,2.16240406,,,
AT1G08560.1,0,2.159079552,,,
AT1G67630.1,0,2.157378197,,,
AT5G41020.1,1.588367462,2.156581879,,,
AT4G32551.1,0,2.122690678,,,
AT2G16440.1,1.774084091,2.111076832,,,
AT1G62050.1,0,2.108682632,,,
AT2G34357.1,0.672023773,2.108007431,,,
AT2G19810.1,0,2.104496002,,,
AT5G24010.1,3.644733906,2.095993996,,,
AT5G52580.1,0,2.074990273,,,
AT5G57410.2,0,2.072558403,,,
AT3G60250.3,0,2.066830158,,,
AT3G62700.1,0,2.054334641,,,
AT1G21630.3,0,2.047371864,,,
AT5G14540.1,-1.520852089,2.023464203,,,
AT3G58690.1,0,2.021962166,,,
AT1G53590.1,0,2.019589424,,,
AT3G48860.2,-2.826719284,2.005578995,,,
AT5G04510.2,0,2.004142761,,,
AT1G22930.2,0,2.001839161,,,
AT4G25210.1,-2.252758026,1.993048668,,,
AT3G04930.2,0,1.974941254,,,
AT1G17745.1,0.868616104,1.973080635,,,
AT1G03960.5,1.33411026,1.967205048,,,
AT5G53830.1,3.664672852,1.956882477,,,
AT4G27450.1,-0.439036846,1.955661774,,,
AT3G13990.2,0,1.947435379,,,
AT4G29380.2,-0.661737442,1.947084427,,,
AT1G31460.1,-1.816126823,1.942089081,,,
AT4G38360.2,0,1.929459095,,,
AT4G35110.6,2.711120129,1.910036564,,,
AT2G39130.3,0,1.889335632,,,
AT4G17060.1,-2.832940102,1.864161491,,,
AT1G49340.4,-3.706471443,1.825755119,,,
AT5G51380.1,0,1.818305016,,,
AT1G80710.1,1.966552734,1.806554794,,,
AT1G48210.7,0,1.806443214,,,
AT4G24610.1,-3.32346344,1.804654121,,,
AT2G22300.3,2.31333828,1.798512459,,,
